"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId"
"2025-04-22 21:41:59",1745358119058,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/process-image","POST","",-1,"fg2tr-1745358118821-e5e3e8f186b0","node","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",-1,"iad1",-1,-1,"[Process Image Job f4ad82d4-bcc1-48d6-9696-f11538148301] Retrieved blobUrl: https://bbinqkiqaoatmgyo.public.blob.vercel-storage.com/IMG_7180-VdBwLNDL1cVXLDjbWAq6hbKlTEHCgp.HEIC","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
"2025-04-22 21:41:59",1745358119058,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/process-image","POST","",-1,"fg2tr-1745358118821-e5e3e8f186b0","node","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",-1,"iad1",-1,-1,"[Process Image Job f4ad82d4-bcc1-48d6-9696-f11538148301] Retrieved job data status: pending","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
"2025-04-22 21:41:58",1745358118977,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/process-image","POST","",-1,"fg2tr-1745358118821-e5e3e8f186b0","node","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",-1,"iad1",-1,-1,"[Process Image Job f4ad82d4-bcc1-48d6-9696-f11538148301] Fetching job details from Redis...","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
"2025-04-22 21:41:58",1745358118977,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/process-image","POST","",-1,"fg2tr-1745358118821-e5e3e8f186b0","node","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",-1,"iad1",-1,-1,"[Process Image Job f4ad82d4-bcc1-48d6-9696-f11538148301] Starting background processing...","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
"2025-04-22 21:41:58",1745358118976,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/process-image","POST","",-1,"fg2tr-1745358118821-e5e3e8f186b0","node","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",-1,"iad1",-1,-1,"[Process Image Handler] Received Trigger Secret (masked): ...2a87","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
"2025-04-22 21:41:58",1745358118976,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/process-image","POST","",-1,"fg2tr-1745358118821-e5e3e8f186b0","node","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",-1,"iad1",-1,-1,"[Process Image Handler] ===== INVOKED =====","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
"2025-04-22 21:41:58",1745358118976,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/process-image","POST","",-1,"fg2tr-1745358118821-e5e3e8f186b0","node","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",-1,"iad1",-1,-1,"[Process Image Handler] ===== FUNCTION HANDLER ENTERED =====","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
"2025-04-22 21:41:58",1745358118925,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/process-image","POST","",200,"fg2tr-1745358118821-e5e3e8f186b0","node","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",5367,"iad1",440,1769,"","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
"2025-04-22 21:41:58",1745358118795,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/job-status","GET","jobId=f4ad82d4-bcc1-48d6-9696-f11538148301",200,"2zwbz-1745358118733-c9f05079f7bb","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",105,"iad1",191,1769,"","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
"2025-04-22 21:41:58",1745358118699,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/upload","POST","",-1,"ql5g7-1745358117204-8665a140375a","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",-1,"iad1",-1,-1,"[Async Upload] Received 1 files.
[Async Upload] Processing file: IMG_7180.HEIC, size: 1418858 bytes
[Async Upload] Generated Job ID: f4ad82d4-bcc1-48d6-9696-f11538148301
[Async Upload Job f4ad82d4-bcc1-48d6-9696-f11538148301] Uploading image to Vercel Blob...
[Async Upload Job f4ad82d4-bcc1-48d6-9696-f11538148301] Image uploaded to: https://bbinqkiqaoatmgyo.public.blob.vercel-storage.com/IMG_7180-VdBwLNDL1cVXLDjbWAq6hbKlTEHCgp.HEIC
[Async Upload Job f4ad82d4-bcc1-48d6-9696-f11538148301] Storing initial job state in Redis...
[Async Upload Job f4ad82d4-bcc1-48d6-9696-f11538148301] Initial job state stored.
[Async Upload Job f4ad82d4-bcc1-48d6-9696-f11538148301] Triggering background processing at: https://recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/process-image
[Async Upload Job f4ad82d4-bcc1-48d6-9696-f11538148301] Trigger URL used: https://recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/process-image
[Async Upload Job f4ad82d4-bcc1-48d6-9696-f11538148301] Sending trigger secret (masked): ...2a87
[Async Upload Job f4ad82d4-bcc1-48d6-9696-f11538148301] Background process fetch dispatched (fire-and-forget).
[Async Upload Job f4ad82d4-bcc1-48d6-9696-f11538148301] Sent 202 Accepted to client.","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
"2025-04-22 21:41:57",1745358117669,"recipe-to-cart-nrfil66up-poweredbyml.vercel.app/api/upload","POST","",202,"ql5g7-1745358117204-8665a140375a","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","info","preview","image-processing-debugging","MISS","lambda","/backend/server.js","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","recipe-to-cart-nrfil66up-poweredbyml.vercel.app","dpl_8vnd8yn8ZswNtdWgVputTAFt31v9",535,"iad1",191,1769,"","prj_hVf7LhfynWKV0VOiitP5BJqqZVGs"
